,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),check_sewer_permits
965,CITY OF MART SWTP,TX0138495,MART,TX,6,2022,2022-09-27T08:54:38.022-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
974,ALDINE ISD ANNE LOUISE EDUCATIONAL COMPLEX,TX0115797,HOUSTON,TX,6,2022,2022-09-27T09:36:09.880-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
978,ROY C. HESTER WWTP,TX0064963,BIG SPRING,TX,6,2022,2022-09-27T09:44:52.671-0500,Other,310.0,0,,Other Management Practice,,,,307.93,Not Applicable,other_system
984,SCHLUMBERGER ROSHARON COMPLETIONS,TX0078646,ROSHARON,TX,6,2022,2022-09-29T09:45:49.902-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
990,MEXIA STATE SUPPORTED LIVING CENTER WWTP,TX0030775,MEXIA,TX,6,2022,2022-09-28T11:20:13.615-0500,Other,0.0,0,,Other Management Practice,,,,,Class B,other_system
991,SAN JACINTO ELEMENTARY WWTP,TX0083208,CONROE,TX,6,2022,2022-09-27T10:43:07.988-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
997,FOSTER BRISCOE SCHOOL WWTP,TX0139602,ROSENBERG,TX,6,2022,2022-09-30T17:02:54.263-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1000,COTTON BAYOU PARK,TX0085961,LEAGUE CITY,TX,6,2022,2022-09-27T10:51:02.159-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.9003416,0,,Other Management Practice,,,,0.9003416,Not Applicable,other_system
1005,MOOREHEAD JR HIGH SCHOOL WWTP,TX0138932,CONROE,TX,6,2022,2022-09-27T11:04:22.860-0500,Other,1.69,0,,Other Management Practice,,,,1.69,Class B,other_system
1009,JOHNSON RANCH WWTF,TX0133825,BOERNE,TX,6,2022,2022-09-27T11:12:55.359-0500,Other,124.85,0,,Other Management Practice,,,,124.85,Not Applicable,other_system
1014,SPLENDORA HIGH SCHOOL WWTF,TX0117463,SPLENDORA,TX,6,2022,2022-09-27T11:29:48.707-0500,Other,0.76,0,,Other Management Practice,,,,0.76,Class B,other_system
1017,ROLLING RIDGE WWTF,TX0077526,COLLEGE STATION,TX,6,2022,2022-09-29T13:38:27.568-0500,Other,4.939,0,,Land Application,4.939,,,,Class B,other_system
1020,FOREST GLEN WWTF,TX0071765,HUNTSVILLE,TX,6,2022,2022-09-27T11:59:39.721-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1038,LOMETA REGIONAL WWTP,TX0124389,AUSTIN,TX,6,2022,2022-09-27T13:10:12.941-0500,Other,9.15,0,,Other Management Practice,,,,9.15,Not Applicable,other_system
1046,FANNETT CAMPUS WWTP,TX0079138,HAMSHIRE,TX,6,2022,2022-09-27T14:21:19.882-0500,Other,3.78,0,,Other Management Practice,,,,3.78,Not Applicable,other_system
1070,NORTH ALAMO WSC REGIONAL WWTP,TX0140490,EDINBURG,TX,6,2022,2022-09-27T16:14:16.991-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,18.86,0,,Land Application,18.86,,,,Class A,other_system
1081,WEIMAN MHP WWTF,TX0085871,HUNTINGTON BEACH,CA,6,2022,2022-09-27T15:44:50.049-0500,Other,2.95262454,0,,Other Management Practice,,,,2.95262454,Not Applicable,other_system
1082,GE PACKAGED POWER JPORT,TX0101656,HOUSTON,TX,6,2022,2022-09-29T11:34:37.397-0500,Other,2.36,0,,Other Management Practice,,,,2.36,Not Applicable,other_system
1087,ANGLE ACRES WWTP,TX0088366,CYPRESS,TX,6,2022,2022-09-28T14:52:42.528-0500,Other,1.51,0,,Other Management Practice,,,,1.51,Class B,other_system
1093,DEER TRAIL WWTP,TX0099171,SPRING,TX,6,2022,2022-09-30T11:19:12.479-0500,Other,6.05,0,,Other Management Practice,,,,6.05,Class B,other_system
1095,WILD PEACH ELEMENTARY WWTF,TX0079235,WEST COLUMBIA,TX,6,2022,2022-10-07T08:44:32.300-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1102,MSEC WWTP 2,TX0136191,MONTGOMERY,TX,6,2022,2022-09-29T09:47:15.363-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,2.27,0,,Other Management Practice,,,,2.27,Not Applicable,other_system
1104,LOCHINVAR GOLF CLUB WWTP,TX0131555,HOUSTON,TX,6,2022,2022-09-28T08:17:17.462-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Class B,other_system
1105,PADRE ISLAND NATIONAL SEASHORE WWTF,TX0122572,CORPUS CHRISTI,TX,6,2022,2022-09-28T08:23:59.052-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1117,YMCA CAMP CULLEN WWTP,TX0059579,HOUSTON,TX,6,2022,2022-09-28T09:14:14.838-0500,Other,3.78,0,,Other Management Practice,,,,3.78,Not Applicable,other_system
1120,MONTGOMERY COUNTY MUD 144 WWTP,TX0139301,HOUSTON,TX,6,2022,2022-09-30T17:25:14.009-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1124,MELROSE MHP WWTP,TX0084671,TORRANCE,CA,6,2022,2022-09-30T11:23:16.760-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1129,PIN OAK MHP WWTF,TX0119610,IRVINE,CA,6,2022,2022-09-30T11:33:54.380-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1132,ALDINE OAKS MHC WWTP,TX0124265,IRVINE,CA,6,2022,2022-09-30T11:39:34.505-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1142,LAKEVIEW METHODIST CONFERENCE CENTER WWTP,TX0066150,PALESTINE,TX,6,2022,2022-09-28T10:55:07.476-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1144,EAST CENTRAL HIGH SCHOOL WWTP,TX0074799,SAN ANTONIO,TX,6,2022,2022-09-28T10:58:43.192-0500,Other,1.9,0,,Other Management Practice,,,,1.9,Class B,other_system
1153,MISSOURI CITY REGIONAL SURFACE WWTP,TX0133159,MISSOURI CITY,TX,6,2022,2022-09-28T10:59:49.604-0500,Other,688.611541,0,,Other Management Practice,,,,688.611541,Class B,other_system
1179,TEXAS A&M UNIVERSITY AT GALVESTON ,TX0063231,GALVESTON,TX,6,2022,2022-09-29T16:15:30.109-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,8.31,0,,Other Management Practice,,,,8.31,Class B,other_system
1184,CYPRESS LAKES WWTP,TX0102024,CLEVELAND,TX,6,2022,2022-09-28T13:52:40.326-0500,Other,3.02,0,,Other Management Practice,,,,3.02,Class B,other_system
1189,KATY ISD MAYDE CREEK WWTP,TX0079201,KATY,TX,6,2022,2022-09-28T13:52:16.629-0500,Other,2.27,0,,Other Management Practice,,,,2.27,Not Applicable,other_system
1201,SRALLA MHP WWTP,TX0126381,MAGNOLIA,TX,6,2022,2022-09-28T14:24:35.912-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1211,TARKINGTON ISD WWTP,TX0132543,CLEVELAND,TX,6,2022,2022-09-29T15:18:47.992-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1219,CEDAR CREEK FOREST MHP,TX0122963,HOUSTON,TX,6,2022,2022-09-28T14:48:42.402-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,6.24,0,,Other Management Practice,,,,6.24,Class B,other_system
1221,OAKMONT WASTWATER TREATMENT PLANT,TX0138860,HOUSTON,TX,6,2022,2022-09-28T14:57:59.837-0500,Other,32.5,0,,Other Management Practice,,,,32.5,Not Applicable,other_system
1231,TDCJ CLEMENS UNIT  WWTP,TX0031569,HUNTSVILLE,TX,6,2022,2022-09-29T09:29:21.187-0500,Other,3.3,0,,Other Management Practice,,,,3.3,Class B,other_system
1234,CAROLINA CREEK CHRISTIAN CAMPS,TX0127370,HOUSTON,TX,6,2022,2022-09-29T11:12:35.573-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1240,GBW RAILCAR SERVICES HOCKLEY,TX0090841,HOCKLEY,TX,6,2022,2022-09-30T11:28:19.590-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1250,FORT WORTH BOAT CLUB WWTP,TX0067504,FORT WORTH,TX,6,2022,2022-09-30T13:50:57.285-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1251,HIDDEN COVE PARK WWTP,TX0093696,SOUTHLAKE,TX,6,2022,2022-09-28T17:09:55.157-0500,Other,26.9,0,,Other Management Practice,,,,26.9,Not Applicable,other_system
1271,CITY OF HENRIETTA WTP,TX0127817,HENRIETTA,TX,6,2022,2022-09-29T15:51:22.669-0500,Other,8.41,0,,Other Management Practice,,,,8.41,Not Applicable,other_system
1272,GREENS BAYOU FABRICATION YARD,TX0100935,CYRPESS,TX,6,2022,2022-09-28T22:24:03.912-0500,Other,0.76,0,,Other Management Practice,,,,0.76,Class B,other_system
1275,RIVER HILLS OWNERS ASSOCIATION,TX0033154,DENISON,TX,6,2022,2022-10-07T13:16:22.109-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1294,SPRING OAKS MHP WWTP,TX0092088,NAVASOTA,TX,6,2022,2022-09-29T16:57:22.672-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,1.27,0,,Other Management Practice,,,,1.27,Class B,other_system
1295,ASTRO WWTP,TX0094790,AUSTIN,TX,6,2022,2022-09-29T09:01:30.354-0500,Other,2.27,0,,Other Management Practice,,,,2.27,Not Applicable,other_system
1298,CHRISTIAN TABERNACLE WWTF,TX0126594,HOUSTON,TX,6,2022,2022-09-29T16:51:15.288-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1300,GRAND OAKS BUSINESS PARK,TX0139068,RICHMOND,TX,6,2022,2022-09-29T16:33:34.015-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1308,ROSEMEADOWS III - WWTP,TX0122459,AUSTIN,TX,6,2022,2022-09-29T15:14:03.522-0500,Other,16.63,0,,Other Management Practice,,,,16.63,Not Applicable,other_system
1324,BIG EDDY WWTP,TX0137995,TYLER,TX,6,2022,2022-09-30T08:28:14.727-0500,Other,3.9,0,,Other Management Practice,,,,2.947,Class B,other_system
1331,TDCJ ELLIS UNIT WWTP,TX0031607,HUNTSVILLE,TX,6,2022,2022-09-29T10:59:48.410-0500,Other,27.57,0,,Other Management Practice,,,,27.57,Class B,other_system
1334,APPLE SPRINGS ISD WETLANDS WWT,TX0118966,APPLE SPRINGS,TX,6,2022,2022-09-29T11:05:24.253-0500,Other,0.0,0,,Other Management Practice,,,,26.8,Not Applicable,other_system
1337,MORTON ROAD WWTF,TX0119121,HOUSTON,TX,6,2022,2022-09-30T13:10:56.735-0500,Other,12.84,0,,Other Management Practice,,,,12.85,Class B,other_system
1345,POLK COUNTY SAFETY REST AREA WWTF,TX0125091,AUSTIN,TX,6,2022,2022-09-29T11:12:27.082-0500,"A POTW that serves 10,000 people or more",4.57,0,,Other Management Practice,,,,4.57,Class B,other_system
1346,TDCJ ESTELLE UNIT ,TX0092789,HUNTSVILLE,TX,6,2022,2022-09-29T11:17:27.634-0500,Other,81.66,0,,Other Management Practice,,,,163.32,Class B,other_system
1355,MOSCOW WWTP,TX0075701,MOSCOW,TX,6,2022,2022-09-29T11:24:50.591-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1363,LEE COUNTY WWTP,TX0132659,COUPLAND,TX,6,2022,2022-09-30T09:59:46.528-0500,Other,13.577,0,,Other Management Practice,,,,13.577,Not Applicable,other_system
1365,TDCJ JESTER 3 UNIT WWTP,TX0089036,HUNTSVILLE,TX,6,2022,2022-09-29T11:41:07.970-0500,Other,20.49,0,,Other Management Practice,,,,20.49,Class B,other_system
1388,TDCJ LUTHER  UNIT WWTP,TX0089028,HUNTSVILLE,TX,6,2022,2022-09-29T12:21:31.988-0500,Other,16.1,0,,Other Management Practice,,,,16.1,Class B,other_system
1394,REDWOOD WWTP,TX0096679,AUSTIN,TX,6,2022,2022-09-29T12:28:54.194-0500,Other,7.56,0,,Other Management Practice,,,,7.56,Not Applicable,other_system
1397,TERRELL UNIT WWTP,TX0115169,HUNTSVILLE,TX,6,2022,2022-09-29T12:47:38.588-0500,Other,7.25,0,,Other Management Practice,,,,7.25,Class B,other_system
1413,TDJC COFFIELD UNIT,TX0031577,HUNTSVILLE,TX,6,2022,2022-09-29T13:30:02.028-0500,Other,263.59,0,,Other Management Practice,,,,263.59,Class B,other_system
1420,TDCJ POWLEDGE WWTP,TX0089044,HUNSTVILLE,TX,6,2022,2022-09-29T13:44:47.359-0500,Other,23.54,0,,Other Management Practice,,,,23.54,Class B,other_system
1444,NORTHLAKE VILLAGE MHP WWTP,TX0120022,NORTHLAKE,TX,6,2022,2022-09-29T15:42:46.210-0500,Other,1.40263636,0,,Other Management Practice,,,,1.40263636,Not Applicable,other_system
1448,MILL CREEK WWTP,TX0139327,TOMBALL,TX,6,2022,2022-09-29T15:00:30.192-0500,Other,2.6119371,0,,Land Application,2.6119371,,,,Class B,other_system
1462,SIGMAPRO WWTP,TX0138754,FORT WORTH,TX,6,2022,2022-09-29T16:03:23.063-0500,Other,0.15163636,0,,Other Management Practice,,,,0.15163636,Not Applicable,other_system
1470,ORLA WWTP,TX0138983,HOUSTON,TX,6,2022,2022-09-29T18:17:51.068-0500,Other,13.0,0,,Other Management Practice,,,,13.0,Not Applicable,other_system
1472,THE PARK,TX0136590,SUGARLAND,TX,6,2022,2022-09-29T18:02:35.949-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1483,HAPPY HILL FARM CHILDRENS HOME WWTP,TX0138827,GRANBURY,TX,6,2022,2022-09-29T20:23:32.572-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.824,0,,Other Management Practice,,,,0.824,Not Applicable,other_system
1484,CHAPMAN MHP WWTP,TX0099597,CROSBY,TX,6,2022,2022-09-30T11:43:43.005-0500,Other,1.48,0,,Other Management Practice,,,,1.48,Not Applicable,other_system
1486,MONUMENT INN WWTP,TX0113760,LA PORTE,TX,6,2022,2022-10-03T11:01:42.709-0500,Other,0.49,0,,Other Management Practice,,,,0.49,Class B,other_system
1487,ROSEWOOD MHP WWTP,TX0094986,HUMBLE,TX,6,2022,2022-09-30T11:29:40.744-0500,Other,8.35,0,,Other Management Practice,,,,8.35,Class B,other_system
1490,WOODGATE MOBILE HOME VILLAGE,TX0088102,GLENDALE,CO,6,2022,2022-09-29T21:30:09.018-0500,Other,2.12,0,,Land Application,2.12,,,,Class B,other_system
1491,WESTMONT MHP WWTP,TX0093505,HOUSTON,TX,6,2022,2022-09-29T21:41:37.583-0500,Other,12.502,0,,Land Application,12.502,,,,Class B,other_system
1492,CARBY ROAD MHP WWTP,TX0123579,HOUSTON,TX,6,2022,2022-09-29T21:50:30.129-0500,Other,3.346,0,,Land Application,3.346,,,,Class B,other_system
1496,RIVER OAKS MHP WWTP,TX0092711,HOUSTON,TX,6,2022,2022-09-29T22:24:12.982-0500,Other,3.066,0,,Land Application,3.066,,,,Class B,other_system
1500,SUNDOWN MHP WWTF,TX0087785,HOUSTON,TX,6,2022,2022-09-29T22:37:44.836-0500,Other,2.531,0,,Land Application,2.53,,,,Class B,other_system
1502,LONE WILLOW WWTF,TX0095508,WILLIS,TX,6,2022,2022-09-29T22:41:52.368-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1509,COTTON LOGISTICS MIDLAND MAN CAMP,TX0139025,KATY,TX,6,2022,2022-09-30T09:21:22.350-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1526,HARRIS COUNTY MUD 24 WWTP ,TX0113123,BELLAIRE,TX,6,2022,2022-09-30T10:20:00.338-0500,Other,64.22,0,,Other Management Practice,,,,64.22,Class B,other_system
1530,LEON ISD WWTP,TX0135127,JEWETT,TX,6,2022,2022-09-30T10:38:53.346-0500,Other,0.0,0,,Other Management Practice,,,,,Class B,other_system
1534,YELLOW ROSE TRAVEL PLAZA WTP,TX0135992,PASADENA,TX,6,2022,2022-09-30T10:41:27.763-0500,Other,0.0,0,,Other Management Practice,,,,,Class B,other_system
1538,WOODLAND 50 MF WWTF,TX0132632,AUSTIN,TX,6,2022,2022-09-30T11:16:57.609-0500,Other,21.92,0,,Other Management Practice,,,,21.92,Not Applicable,other_system
1552,OLD EGYPT WWTF,TX0120073,AUSTIN,TX,6,2022,2022-09-30T12:24:54.320-0500,Other,134.72,0,,Other Management Practice,,,,134.7,Not Applicable,other_system
1570,EAGLE CREEK RANCH WTP,TX0128007,AUSTIN,TX,6,2022,2022-09-30T13:31:49.617-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1579,TROPICAL TRAILS RV RESORT WWTP,TX0138312,BRYAN,TX,6,2022,2022-09-30T14:44:55.884-0500,Other,0.63,0,,Other Management Practice,,,,0.63,Class B,other_system
1592,GOSPEL FOR ASIA CAMPUS MINISTRY WWTP,TX0134708,WILLS POINT,TX,6,2022,2022-09-30T15:00:59.673-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1593,WARREN ISD-HIGH SCHOOL WWTF,TX0076015,WARREN,TX,6,2022,2022-09-30T15:28:05.546-0500,Other,1.69,0,,Other Management Practice,,,,1.69,Class B,other_system
1597,UPPER LEON RIVER MWD WWTP,TX0122203,COMANCHE,TX,6,2022,2022-09-30T15:17:49.271-0500,Other,206.145,0,,Other Management Practice,,,,206.145,Not Applicable,other_system
1608,WINDERMERE WWTP,TX0074853,SUGAR LAND,TX,6,2022,2022-09-30T18:20:04.379-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,473.11,0,,Other Management Practice,,,,473.11,Not Applicable,other_system
1609,D&L MHP WWTP,TX0133001,HOUSTON,TX,6,2022,2022-09-30T16:19:12.896-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1613,WEST HARDIN COUNTY CISD WWTF,TX0030813,SARATOGA,TX,6,2022,2022-09-30T17:57:58.470-0500,Other,0.25,0,,Other Management Practice,,,,0.25,Not Applicable,other_system
1616,GALVESTON BAY RV PARK WWTF,TX0124761,DICKINSON,TX,6,2022,2022-10-06T02:23:22.601-0500,Other,3.71,0,,"Land Application, Other Management Practice",2.95,,,0.76,Class B,other_system
1630,WOODTRACE INTERIM WWTP,TX0109622,HOUSTON,TX,6,2022,2022-09-30T23:54:29.867-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,45.0426659,0,,Land Application,45.042665963,,,,Class B,other_system
1632,POPE'S LANDING WWTF,TX0103365,ALBA,TX,6,2022,2022-10-01T14:47:14.946-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1638,NORTH TEXAS STATE HOSPITAL VERNON CAMPUS SOUTH ,TX0030732,VERNON,TX,6,2022,2022-10-03T15:11:45.049-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1641,ANDERSON WPCP,CAL077704,ANDERSON,CA,9,2022,2022-12-14T10:29:00.483-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",117.08,0,,Other Management Practice,,,,117.08,Class B,other_system
1652,RUTERSVILLE WTP,TX0132772,LA GRANGE,TX,6,2022,2022-10-07T08:10:59.417-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1653,FAYETTE WSC WATER WELL 4,TX0126861,LA GRANGE,TX,6,2022,2022-10-07T08:12:25.014-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1663,ERA WWTP,TX0130117,ERA,TX,6,2022,2022-10-07T09:11:51.171-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1684,CANAL WTP,TX0135500,EL PASO,TX,6,2022,2022-10-07T13:56:00.948-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1698,CRANE WWTP,TX0138461,MONTGOMERY,TX,6,2022,2022-10-17T10:05:51.658-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1704,GREEN ROAD MH WWTF,TX0033189,HOUSTON,TX,6,2022,2022-10-20T22:48:24.287-0500,Other,3.33,0,,Other Management Practice,,,,3.33,Class B,other_system
1716,TWO HARBORS,MNL022250,TWO HARBORS,MN,5,2022,2022-10-13T10:39:11.062-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,133.0,0,,Land Application,133.0,,,,Class B,other_system
1719,CITY OF BYNUM WWTP,TX0134791,BYNUM,TX,6,2022,2022-10-13T12:59:31.992-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1734,MHC TT LAKE WHITNEY PRESERVE,TX0097691,CHICAGO,IL,6,2022,2022-10-19T11:03:58.238-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1740,WILLIE J HARGROVE HIGH SCHOOL WWTP,TX0075761,HUFFMAN,TX,6,2022,2022-11-20T23:14:11.456-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
1747,DECATUR WWTP,INL039314,DECATUR,IN,5,2022,2023-01-06T11:15:33.760-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,188.6,0,,Land Application,102.2,,,,Class A,other_system
1752,CITY OF BOONE,IAL058076,BOONE,IA,7,2022,2023-01-23T11:08:41.174-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",213.64,0,,Land Application,213.64,,,,Class B,other_system
1753,PRAIRIE ISLAND COMMUNITY WWSL,MNL061336,WELCH,MN,5,2022,2022-11-16T11:22:45.639-0500,Other,18.1,0,,Land Application,18.1,,,,Class B,other_system
1755,CITY OF EAGLE GROVE,IAL034380,EAGLE GROVE,IA,7,2022,2023-01-03T16:29:13.312-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1572.78,0,,Land Application,1572.78,,,,Class B,other_system
1757,CORTEZ SANITATION DISTRICT,COL027545,CORTEZ,CO,8,2022,2023-02-06T15:34:02.497-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,218.2,0,,Other Management Practice,,,,218.2,Not Applicable,other_system
1759,HOLTVILLE WWTP,CAL104361,HOLTVILLE,CA,9,2022,2023-02-09T13:08:07.788-0500,Other,198.0,0,,Land Application,198.44,,,,Class B,other_system
1761,ALBANY CO SD,NYL026867,ALBANY,NY,2,2022,2023-02-14T12:58:55.893-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2858.5,1,Incineration,Incineration,,,2858.5,,,other_system
1762,ALBANY CO SD,NYL026875,ALBANY,NY,2,2022,2023-02-14T13:01:18.485-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",7527.5,1,Incineration,Incineration,,,7527.5,,,other_system
1763,RCSD KIMMSWICK WWTP,MOL106461,KIMMSWICK,MO,7,2022,2022-12-01T16:14:22.344-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",270.0,0,,Land Application,269.0,,,,Class B,other_system
